"","subID","gender","age","handedness","english","compType","VisualWM","rtUnder500","rtOver10000","DigitSpan","reloaded","Vocabulary","DigitSymbolCoding"
"1","36-100","M",33,"left",1,"desktop",33,0,0,7,1,17,44
"2","36-1000","F",26,"right",1,"desktop",31,0,0,9,1,12,43
"3","36-10000","M",23,"right",0,"desktop",24,10,0,6,1,6,42
"4","36-10001","F",23,"right",1,"laptop",34,0,0,10,1,17,55
"5","36-10002","M",24,"right",0,"laptop",34,0,0,5,1,6,40
"6","36-10003","F",43,"right",0,"desktop",34,0,0,8,1,18,49
"7","36-10006","F",32,"right",1,"desktop",31,0,0,6,1,11,42
"8","36-10012","M",41,"right",0,"laptop",37,1,0,4,1,11,35
"9","36-10016","M",18,"both",1,"laptop",32,0,0,5,1,13,47
"10","36-10017","M",18,"right",1,"laptop",40,0,0,6,1,17,61
"11","36-10026","F",41,"right",1,"laptop",36,0,0,8,1,14,43
"12","36-10027","M",21,"right",0,"desktop",33,0,0,5,1,11,56
"13","36-10029","F",27,"right",1,"desktop",35,0,0,8,1,12,57
"14","36-10040","M",27,"right",1,"laptop",37,0,0,5,1,10,57
"15","36-1005","F",10,"right",1,"desktop",24,0,0,4,1,8,25
"16","36-10051","M",19,"right",0,"desktop",31,0,0,7,1,7,37
"17","36-10055","F",24,"right",0,"laptop",35,0,0,7,1,6,40
"18","36-10056","M",27,"right",1,"desktop",41,0,0,4,1,13,59
"19","36-10059","M",22,"left",0,"laptop",38,0,0,4,1,7,47
"20","36-10061","F",20,"right",1,"laptop",39,0,0,10,1,14,49
"21","36-10065","F",13,"right",1,"laptop",35,0,0,11,1,8,45
"22","36-10070","F",16,"left",1,"laptop",33,0,0,4,1,9,53
"23","36-10074","M",23,"left",0,"desktop",32,0,0,8,1,11,53
"24","36-10075","F",47,"right",1,"desktop",29,0,0,4,1,20,50
"25","36-1008","F",19,"right",1,"laptop",37,0,0,8,1,10,69
"26","36-10080","F",18,"right",1,"desktop",32,0,0,6,1,12,46
"27","36-10085","F",19,"right",1,"laptop",31,0,0,5,1,11,43
"28","36-10090","F",22,"left",0,"desktop",34,0,0,5,1,8,39
"29","36-10092","M",19,"right",0,"desktop",29,0,0,4,1,4,34
"30","36-10097","M",17,"right",1,"desktop",31,0,0,7,1,5,31
"31","36-10100","M",18,"right",1,"laptop",35,0,0,5,1,11,42
"32","36-1011","F",20,"right",1,"desktop",36,0,0,6,1,11,36
"33","36-10111","F",32,"right",1,"desktop",36,0,0,8,1,17,45
"34","36-10114","F",13,"right",1,"laptop",33,2,0,3,1,7,46
"35","36-10119","M",16,"right",1,"desktop",42,0,0,6,1,10,55
"36","36-10121","F",34,"left",1,"laptop",35,0,0,1,1,17,49
"37","36-10125","F",12,"right",1,"desktop",36,0,0,6,1,7,38
"38","36-1013","F",28,"right",0,"laptop",39,0,0,5,1,6,50
"39","36-10139","F",20,"right",1,"desktop",38,0,0,6,1,12,54
"40","36-10142","M",55,"right",1,"desktop",36,0,0,8,1,19,38
"41","36-10144","F",19,"left",0,"desktop",33,0,0,5,1,9,63
"42","36-10145","F",23,"right",0,"laptop",29,0,2,6,1,8,42
"43","36-10147","F",16,"right",1,"desktop",31,0,0,5,1,11,36
"44","36-1015","F",23,"right",0,"laptop",36,0,0,7,1,8,51
"45","36-10152","M",17,"right",0,"laptop",33,0,0,5,1,9,46
"46","36-1016","F",27,"left",1,"laptop",37,0,0,8,1,19,63
"47","36-10165","F",18,"right",1,"laptop",39,0,0,7,1,12,57
"48","36-1017","F",16,"right",1,"laptop",34,0,0,5,1,8,49
"49","36-1018","M",20,"right",0,"laptop",20,2,1,8,1,7,43
"50","36-10180","F",22,"right",1,"laptop",38,0,1,4,1,8,41
"51","36-10182","F",38,"right",1,"laptop",38,0,0,8,1,14,47
"52","36-10188","F",19,"right",1,"laptop",40,0,0,8,1,17,65
"53","36-10189","F",27,"right",0,"laptop",35,0,0,6,1,5,64
"54","36-10190","M",20,"right",1,"laptop",38,0,0,6,1,17,62
"55","36-10192","M",40,"right",0,"desktop",27,0,0,7,1,13,45
"56","36-10193","F",13,"right",1,"laptop",37,0,0,5,1,12,44
"57","36-102","M",23,"right",0,"laptop",33,0,0,5,1,8,57
"58","36-1020","M",22,"right",1,"desktop",28,5,1,6,1,11,49
"59","36-10200","M",23,"right",0,"laptop",30,0,0,5,1,13,38
"60","36-10203","M",27,"right",0,"desktop",39,0,0,4,1,13,51
"61","36-10210","M",26,"right",1,"laptop",32,0,0,4,1,10,30
"62","36-10211","F",18,"right",1,"laptop",30,0,0,5,1,3,39
"63","36-10219","F",21,"right",0,"laptop",39,0,0,6,1,5,57
"64","36-10220","F",26,"right",1,"desktop",35,0,0,6,1,12,54
"65","36-10221","F",15,"right",1,"desktop",40,0,0,4,1,11,66
"66","36-10231","M",15,"right",1,"laptop",41,0,0,7,1,15,66
"67","36-10237","F",27,"right",0,"laptop",29,0,0,6,1,15,60
"68","36-10243","M",28,"right",0,"laptop",22,0,0,6,1,4,35
"69","36-10247","F",24,"right",1,"desktop",35,0,0,8,1,12,38
"70","36-10248","F",18,"right",1,"desktop",38,0,0,9,1,11,60
"71","36-10249","M",47,"right",0,"laptop",35,0,0,6,1,7,38
"72","36-10264","F",22,"right",1,"laptop",38,0,0,7,1,10,45
"73","36-10265","F",24,"right",0,"laptop",26,0,0,6,1,6,32
"74","36-10266","F",35,"right",0,"desktop",36,0,0,6,1,15,48
"75","36-10267","F",24,"right",1,"laptop",33,0,0,5,1,13,40
"76","36-1027","F",18,"right",1,"laptop",38,0,0,6,1,14,43
"77","36-10272","F",22,"right",1,"desktop",32,0,0,4,1,13,46
"78","36-10274","M",15,"right",1,"laptop",35,0,0,6,1,9,44
"79","36-10279","F",15,"right",1,"laptop",31,0,0,5,1,9,43
"80","36-10280","M",15,"right",1,"laptop",36,0,0,7,1,17,68
"81","36-10283","M",27,"right",1,"desktop",41,0,0,4,1,12,48
"82","36-10286","F",42,"both",1,"laptop",31,0,0,6,1,12,42
"83","36-10287","F",29,"right",1,"laptop",26,1,0,6,1,6,33
"84","36-10290","F",17,"right",1,"laptop",32,1,0,5,1,5,44
"85","36-10291","F",25,"left",0,"laptop",36,0,0,6,1,12,47
"86","36-10293","F",28,"right",0,"laptop",36,0,0,6,1,12,50
"87","36-10297","M",29,"right",1,"desktop",31,0,0,7,1,5,52
"88","36-10298","F",30,"both",1,"laptop",32,0,0,8,1,18,75
"89","36-1030","F",24,"right",1,"laptop",31,0,0,8,1,14,43
"90","36-10303","M",21,"left",1,"desktop",40,0,0,8,1,19,57
"91","36-10304","M",27,"right",0,"desktop",38,0,0,5,1,5,43
"92","36-10308","F",29,"right",1,"laptop",35,0,0,5,1,12,53
"93","36-10311","M",23,"right",1,"desktop",39,0,0,8,1,11,50
"94","36-10316","F",19,"right",1,"laptop",39,0,0,8,1,14,52
"95","36-10318","F",30,"right",1,"desktop",32,0,0,5,1,10,49
"96","36-10321","M",23,"right",0,"desktop",37,0,0,11,1,4,46
"97","36-10328","F",16,"left",1,"desktop",35,1,0,2,1,13,50
"98","36-1033","M",52,"right",1,"desktop",25,0,0,7,1,14,52
"99","36-10333","M",51,"right",1,"desktop",31,0,0,6,1,20,50
"100","36-10339","F",25,"right",1,"laptop",28,0,0,7,1,8,45
"101","36-10357","F",19,"both",0,"desktop",37,0,0,1,1,12,59
"102","36-10363","F",18,"left",1,"desktop",34,0,0,7,1,11,58
"103","36-10369","F",17,"right",1,"desktop",26,0,0,6,1,8,50
"104","36-10370","M",22,"right",1,"laptop",36,0,0,8,1,16,48
"105","36-10373","F",18,"right",1,"laptop",36,0,0,6,1,14,55
"106","36-10375","F",14,"left",0,"desktop",30,0,0,6,1,8,33
"107","36-10382","F",23,"left",1,"desktop",33,0,0,6,1,16,35
"108","36-10385","F",17,"right",1,"laptop",32,0,0,6,1,10,42
"109","36-10389","M",17,"both",0,"laptop",38,0,0,7,1,12,48
"110","36-10391","M",40,"right",1,"desktop",33,0,0,7,1,14,48
"111","36-10392","F",20,"right",1,"laptop",35,0,0,7,1,10,46
"112","36-10394","F",20,"right",1,"laptop",18,11,0,5,1,10,53
"113","36-10400","F",20,"right",1,"laptop",38,0,0,9,1,19,59
"114","36-10401","F",20,"right",1,"desktop",33,0,0,2,1,8,47
"115","36-10404","F",12,"right",0,"laptop",35,0,0,3,1,6,41
"116","36-10411","F",27,"right",0,"laptop",35,0,0,7,1,6,42
"117","36-10412","M",29,"right",1,"laptop",37,1,0,11,1,15,46
"118","36-10417","F",20,"right",1,"desktop",24,0,0,5,1,3,33
"119","36-10420","F",24,"right",1,"laptop",37,0,0,7,1,16,49
"120","36-10425","F",35,"right",1,"desktop",27,0,0,6,1,19,55
"121","36-10427","F",17,"right",1,"desktop",34,0,0,6,1,15,42
"122","36-1043","F",25,"right",0,"laptop",37,0,0,7,1,14,46
"123","36-10432","M",16,"right",1,"laptop",33,0,0,8,1,7,49
"124","36-10433","M",30,"right",1,"desktop",33,1,0,4,1,19,61
"125","36-10435","F",21,"right",1,"laptop",30,0,2,7,1,11,59
"126","36-10436","F",30,"left",1,"laptop",34,0,0,6,1,13,37
"127","36-10437","F",39,"right",1,"laptop",35,0,0,5,1,20,42
"128","36-10441","M",15,"right",1,"desktop",37,0,0,6,1,10,46
"129","36-10443","M",23,"right",1,"laptop",30,1,0,7,1,15,59
"130","36-10446","F",24,"right",0,"laptop",36,0,0,8,1,14,60
"131","36-10448","M",22,"right",0,"desktop",32,0,0,9,1,6,44
"132","36-10449","F",21,"right",0,"desktop",25,1,0,7,1,5,48
"133","36-1045","F",47,"right",1,"desktop",34,0,0,7,1,17,38
"134","36-10451","M",22,"both",0,"laptop",37,0,0,6,1,12,65
"135","36-10460","F",66,"right",1,"desktop",32,1,0,6,1,20,37
"136","36-10463","F",17,"right",0,"desktop",33,0,0,8,1,6,49
"137","36-10464","M",44,"right",1,"laptop",35,0,0,5,1,19,57
"138","36-10473","F",14,"right",1,"laptop",34,0,0,7,1,10,48
"139","36-10474","F",27,"right",1,"laptop",36,0,0,7,1,18,50
"140","36-10476","M",38,"right",1,"desktop",35,0,0,8,1,17,39
"141","36-10477","F",32,"right",1,"laptop",31,0,1,8,1,13,40
"142","36-10478","M",21,"right",0,"laptop",33,0,0,5,1,11,40
"143","36-10479","M",28,"left",1,"desktop",26,0,0,4,1,16,27
"144","36-10483","F",23,"left",1,"desktop",29,4,0,7,1,14,40
"145","36-10484","M",21,"right",1,"desktop",33,0,0,7,1,17,60
"146","36-10486","F",20,"right",1,"laptop",37,0,0,5,1,12,49
"147","36-10488","F",31,"right",1,"laptop",34,0,0,7,1,17,50
"148","36-10492","M",13,"right",1,"desktop",36,0,0,6,1,14,53
"149","36-10494","F",29,"right",1,"laptop",39,0,0,5,1,11,55
"150","36-10495","M",26,"right",1,"laptop",38,0,0,5,1,19,57
"151","36-10502","M",23,"right",1,"laptop",36,0,0,7,1,19,49
"152","36-10508","F",42,"right",1,"laptop",34,0,0,5,1,9,45
"153","36-10515","F",22,"left",0,"desktop",32,0,0,4,1,9,43
"154","36-10519","M",26,"right",0,"desktop",36,0,0,9,1,12,46
"155","36-1052","M",39,"right",1,"laptop",31,0,0,8,1,18,39
"156","36-10520","M",29,"right",0,"desktop",35,0,0,7,1,11,55
"157","36-10521","M",22,"right",1,"laptop",36,0,0,8,1,9,50
"158","36-10522","M",24,"right",1,"desktop",29,0,0,6,1,5,43
"159","36-10524","M",19,"right",1,"laptop",39,0,0,7,1,11,68
"160","36-10525","F",17,"right",0,"desktop",35,0,0,4,1,11,43
"161","36-10528","M",25,"right",0,"desktop",31,1,0,7,1,9,43
"162","36-10531","M",26,"left",1,"desktop",33,0,0,8,1,18,45
"163","36-10533","F",16,"right",1,"desktop",33,0,0,5,1,11,55
"164","36-10540","F",29,"right",1,"desktop",36,0,0,9,1,20,74
"165","36-10542","M",24,"right",1,"laptop",38,0,0,7,1,18,64
"166","36-10545","F",28,"right",1,"desktop",29,0,0,7,1,17,49
"167","36-10547","F",26,"left",1,"desktop",35,0,0,6,1,20,54
"168","36-10553","F",52,"right",1,"laptop",34,0,0,5,1,17,33
"169","36-10555","M",42,"right",1,"desktop",34,0,0,7,1,18,41
"170","36-10559","F",24,"left",1,"laptop",36,0,0,7,1,13,44
"171","36-1056","F",29,"right",1,"desktop",34,0,0,7,1,13,44
"172","36-10579","F",49,"right",1,"laptop",29,0,0,2,1,14,38
"173","36-10585","M",24,"right",0,"laptop",38,0,0,7,1,11,45
"174","36-10594","M",55,"right",1,"desktop",28,0,0,5,1,19,31
"175","36-10599","M",16,"right",1,"desktop",25,0,0,7,1,8,65
"176","36-10602","F",54,"right",1,"desktop",27,0,0,4,1,20,41
"177","36-10607","M",33,"right",1,"laptop",37,0,0,6,1,14,49
"178","36-10617","M",27,"right",1,"laptop",31,0,0,8,1,16,41
"179","36-10618","M",12,"right",1,"laptop",27,2,0,5,1,6,37
"180","36-10619","M",21,"right",0,"laptop",34,0,0,6,1,5,38
"181","36-1062","F",49,"right",1,"desktop",32,0,0,7,1,17,34
"182","36-10622","F",29,"right",1,"laptop",38,0,0,6,1,18,56
"183","36-10623","F",15,"right",1,"desktop",37,0,0,7,1,13,50
"184","36-10631","M",29,"right",1,"desktop",40,0,0,6,1,13,58
"185","36-10633","F",34,"right",0,"laptop",32,0,0,5,1,14,55
"186","36-10634","M",36,"right",0,"desktop",39,0,0,7,1,12,48
"187","36-10639","F",16,"right",0,"desktop",30,0,0,5,1,6,36
"188","36-10640","M",52,"right",0,"desktop",28,0,0,7,1,9,45
"189","36-10644","M",50,"right",1,"laptop",35,0,0,7,1,20,67
"190","36-10645","F",60,"right",1,"desktop",36,0,0,4,1,13,39
"191","36-10647","F",39,"left",1,"desktop",36,0,0,5,1,18,45
"192","36-10650","M",25,"right",1,"laptop",34,0,0,4,1,19,67
"193","36-10652","M",18,"right",1,"laptop",30,0,0,5,1,9,51
"194","36-10655","F",26,"right",0,"laptop",34,0,0,9,1,10,38
"195","36-10667","M",26,"right",1,"desktop",29,0,0,8,1,17,48
"196","36-10671","M",31,"right",1,"laptop",31,2,0,4,1,6,41
"197","36-10672","M",31,"right",1,"desktop",39,0,0,5,1,15,53
"198","36-10680","M",31,"left",1,"desktop",35,0,0,5,1,14,64
"199","36-10683","F",32,"right",1,"laptop",32,0,1,6,1,13,50
"200","36-10685","M",24,"right",1,"laptop",37,0,0,9,1,16,57
"201","36-10686","M",19,"right",1,"desktop",35,0,0,8,1,13,45
"202","36-10690","F",21,"right",1,"laptop",34,0,0,5,1,8,55
"203","36-10693","F",24,"right",1,"desktop",39,0,0,7,1,15,57
"204","36-10694","M",49,"right",1,"desktop",35,0,0,11,1,20,53
"205","36-10695","F",29,"right",0,"desktop",35,0,0,4,1,19,44
"206","36-107","F",18,"right",1,"laptop",33,0,0,5,1,11,48
"207","36-10700","M",23,"left",1,"laptop",35,0,0,1,1,17,62
"208","36-10703","M",33,"right",0,"desktop",21,1,0,4,1,6,35
"209","36-10704","F",23,"right",1,"desktop",37,0,0,2,1,7,63
"210","36-10705","F",23,"right",0,"desktop",33,0,0,5,1,7,53
"211","36-10706","M",30,"right",0,"desktop",28,0,0,5,1,9,42
"212","36-10710","M",15,"right",1,"laptop",40,0,0,7,1,13,44
"213","36-10711","F",32,"right",1,"desktop",33,0,0,10,1,17,76
"214","36-10715","F",48,"right",0,"desktop",36,0,0,9,1,12,40
"215","36-10718","M",20,"left",0,"laptop",35,0,0,7,1,12,45
"216","36-10720","F",19,"right",1,"laptop",35,0,0,2,1,7,41
"217","36-10724","M",32,"right",1,"desktop",34,0,0,8,1,19,50
"218","36-10725","F",35,"right",1,"desktop",34,0,0,7,1,18,56
"219","36-10726","M",19,"right",1,"laptop",37,0,0,8,1,17,50
"220","36-10727","M",15,"right",0,"laptop",34,0,0,6,1,6,44
"221","36-10728","F",24,"right",0,"laptop",42,0,0,7,1,10,61
"222","36-10729","F",49,"right",0,"desktop",33,0,0,10,1,5,38
"223","36-10731","M",24,"left",1,"laptop",35,0,0,5,1,16,55
"224","36-10733","M",34,"right",0,"laptop",31,0,0,7,1,16,35
"225","36-10734","F",37,"left",1,"laptop",27,0,0,5,1,18,61
"226","36-10738","M",34,"right",1,"desktop",26,1,0,5,1,16,38
"227","36-10742","M",25,"right",0,"laptop",38,0,0,6,1,10,58
"228","36-10743","F",30,"right",1,"desktop",39,0,0,7,1,14,50
"229","36-10747","M",28,"right",1,"laptop",34,0,0,8,1,17,54
"230","36-10753","F",18,"right",1,"desktop",32,0,0,7,1,13,63
"231","36-10754","F",24,"right",1,"desktop",27,0,0,4,1,8,48
"232","36-10756","M",19,"right",0,"desktop",34,0,0,6,1,5,55
"233","36-10763","F",15,"right",1,"laptop",30,0,0,6,1,9,44
"234","36-10764","M",19,"right",1,"laptop",29,0,0,6,1,14,34
"235","36-10765","F",15,"right",1,"desktop",21,0,0,11,1,8,50
"236","36-10767","F",26,"right",1,"laptop",38,0,0,7,1,18,49
"237","36-10769","F",22,"right",0,"laptop",32,0,0,7,1,15,49
"238","36-10771","M",34,"left",1,"laptop",35,0,0,5,1,13,46
"239","36-10776","F",35,"right",1,"laptop",32,0,0,6,1,13,40
"240","36-10777","F",22,"right",1,"desktop",31,0,0,5,1,11,48
"241","36-10780","F",13,"right",1,"laptop",32,0,0,5,1,10,38
"242","36-10782","M",22,"right",0,"desktop",35,0,0,6,1,10,54
"243","36-10784","F",19,"right",1,"laptop",32,0,0,9,1,13,84
"244","36-10791","M",22,"right",1,"laptop",36,0,0,7,1,14,53
"245","36-10794","F",55,"left",1,"desktop",25,6,0,8,1,19,40
"246","36-10795","F",51,"right",1,"desktop",35,0,0,4,1,10,43
"247","36-10796","F",20,"right",1,"laptop",37,0,0,5,1,13,48
"248","36-108","M",19,"right",0,"desktop",38,0,0,6,1,12,59
"249","36-10800","F",31,"right",1,"desktop",32,0,0,7,1,19,45
"250","36-10803","F",19,"right",1,"desktop",32,0,0,6,1,11,50
"251","36-10804","F",23,"right",0,"laptop",39,0,0,9,1,8,49
"252","36-10805","F",24,"right",1,"desktop",36,0,0,5,1,14,73
"253","36-10806","M",28,"left",0,"laptop",34,0,0,4,1,5,42
"254","36-1081","M",25,"right",0,"laptop",27,0,0,2,1,7,28
"255","36-10810","M",22,"right",1,"laptop",34,0,0,7,1,19,40
"256","36-10814","M",16,"right",0,"desktop",34,0,0,9,1,9,48
"257","36-10820","M",44,"right",1,"laptop",40,0,0,6,1,19,49
"258","36-10821","M",31,"right",1,"desktop",36,0,0,8,1,13,44
"259","36-10824","M",17,"right",1,"desktop",32,3,0,7,1,12,32
"260","36-10825","M",38,"right",1,"laptop",34,0,0,4,1,13,42
"261","36-10826","M",31,"right",1,"desktop",30,0,0,7,1,13,47
"262","36-10832","F",26,"right",0,"laptop",32,0,1,6,1,5,56
"263","36-10842","F",38,"right",1,"laptop",34,1,0,4,1,12,32
"264","36-10843","F",18,"right",0,"laptop",31,0,0,7,1,14,49
"265","36-10847","F",33,"right",1,"laptop",33,0,0,8,1,16,43
"266","36-10848","M",26,"right",1,"desktop",36,0,0,8,1,16,66
"267","36-10853","M",24,"right",1,"desktop",26,5,1,4,1,10,30
"268","36-10854","F",20,"left",1,"laptop",32,0,0,7,1,11,37
"269","36-10855","F",18,"right",1,"laptop",40,0,0,5,1,13,72
"270","36-10858","M",23,"right",1,"desktop",39,0,0,7,1,11,57
"271","36-10861","F",28,"right",1,"desktop",39,0,0,6,1,16,64
"272","36-10874","F",60,"right",1,"laptop",34,0,0,6,1,17,41
"273","36-10875","M",60,"left",1,"laptop",24,0,0,7,1,19,35
"274","36-10879","F",22,"right",1,"laptop",33,0,0,6,1,17,43
"275","36-10880","F",29,"right",0,"desktop",36,0,0,5,1,6,37
"276","36-10883","F",20,"right",1,"laptop",38,0,0,8,1,8,47
"277","36-10887","F",29,"right",1,"laptop",36,0,0,9,1,15,43
"278","36-10890","F",35,"right",1,"laptop",30,0,0,6,1,13,42
"279","36-10901","M",33,"right",1,"desktop",35,0,0,6,1,9,68
"280","36-10902","M",17,"right",0,"laptop",30,0,0,8,1,5,19
"281","36-10908","F",21,"right",1,"desktop",31,1,0,5,1,11,49
"282","36-10910","M",18,"left",1,"laptop",34,0,0,7,1,11,56
"283","36-10916","F",23,"left",1,"laptop",27,1,0,4,1,7,51
"284","36-10921","F",18,"right",1,"laptop",31,0,0,5,1,8,57
"285","36-10923","F",17,"right",1,"laptop",33,0,0,5,1,16,51
"286","36-10925","M",34,"left",1,"laptop",36,0,0,4,1,18,42
"287","36-10928","M",20,"right",0,"desktop",37,0,0,6,1,8,51
"288","36-10931","M",25,"right",1,"laptop",34,0,0,8,1,12,51
"289","36-10937","F",20,"right",1,"laptop",36,0,0,8,1,14,48
"290","36-10939","M",24,"right",1,"laptop",38,0,0,8,1,11,54
"291","36-10941","F",33,"right",0,"laptop",31,0,0,7,1,14,44
"292","36-10944","M",15,"right",1,"laptop",34,0,0,7,1,13,51
"293","36-10945","F",15,"right",1,"desktop",33,0,0,4,1,13,49
"294","36-10947","M",20,"right",0,"laptop",32,0,0,6,1,8,34
"295","36-10948","F",24,"right",1,"laptop",34,0,0,7,1,12,57
"296","36-1095","F",50,"right",1,"laptop",34,0,0,7,1,14,49
"297","36-10951","F",31,"right",1,"laptop",34,0,0,5,1,16,57
"298","36-10952","F",24,"right",0,"desktop",38,0,0,7,1,7,59
"299","36-10962","M",26,"right",1,"laptop",38,0,0,2,1,8,34
"300","36-10967","F",16,"right",1,"desktop",34,0,0,5,1,14,66
"301","36-10968","F",28,"right",0,"laptop",35,0,0,9,1,10,49
"302","36-10969","F",18,"right",1,"laptop",30,0,0,6,1,11,42
"303","36-10970","M",20,"right",1,"desktop",39,0,0,11,1,17,60
"304","36-10971","F",17,"right",1,"laptop",33,0,0,4,1,7,44
"305","36-10973","M",16,"right",1,"laptop",32,0,0,6,1,8,51
"306","36-10974","M",23,"right",1,"desktop",38,0,0,7,1,15,70
"307","36-10975","F",22,"right",1,"desktop",39,0,0,8,1,9,48
"308","36-10979","F",25,"right",1,"desktop",33,0,1,6,1,11,43
"309","36-10981","F",12,"left",1,"desktop",34,0,0,5,1,10,42
"310","36-10992","F",15,"right",1,"laptop",32,0,0,6,1,11,44
"311","36-10995","F",17,"right",1,"desktop",34,0,0,7,1,14,54
"312","36-10996","F",17,"right",1,"desktop",22,1,0,4,1,10,38
"313","36-10997","F",22,"left",1,"laptop",32,0,0,7,1,11,51
"314","36-10998","F",31,"right",1,"laptop",29,0,0,7,1,17,37
"315","36-11000","F",18,"right",1,"laptop",30,0,0,5,1,7,55
"316","36-11016","M",39,"right",1,"desktop",32,0,0,5,1,14,46
"317","36-11023","M",23,"right",0,"desktop",40,0,0,7,1,14,55
"318","36-11036","F",16,"right",1,"desktop",38,0,0,7,1,11,46
"319","36-11037","F",21,"right",0,"laptop",34,0,0,6,1,9,29
"320","36-11038","M",28,"right",0,"laptop",34,0,0,7,1,7,40
"321","36-11046","F",16,"right",1,"laptop",33,0,0,8,1,9,50
"322","36-11048","F",59,"right",1,"desktop",31,0,0,8,1,18,34
"323","36-11049","M",31,"right",1,"desktop",39,0,0,7,1,18,44
"324","36-11058","M",25,"right",0,"desktop",34,0,0,7,1,6,43
"325","36-1106","M",15,"right",1,"desktop",35,0,0,7,1,11,41
"326","36-11061","M",36,"right",1,"desktop",33,0,0,6,1,19,42
"327","36-11071","F",19,"left",1,"laptop",28,5,0,5,1,10,54
"328","36-11074","M",60,"right",0,"laptop",36,0,0,5,1,10,41
"329","36-11075","M",20,"right",1,"laptop",29,0,0,5,1,8,44
"330","36-11080","M",17,"right",0,"laptop",31,0,2,6,1,2,38
"331","36-11082","M",18,"right",0,"laptop",38,0,0,5,1,10,69
"332","36-11086","F",18,"both",1,"laptop",30,0,0,6,1,14,49
"333","36-11088","M",22,"right",1,"laptop",30,0,0,7,1,17,68
"334","36-1110","F",17,"left",1,"laptop",34,0,0,8,1,12,37
"335","36-1112","F",26,"right",1,"laptop",38,0,0,6,1,13,48
"336","36-11125","F",18,"right",1,"laptop",38,0,0,7,1,12,54
"337","36-11126","F",15,"right",0,"laptop",38,0,0,7,1,15,57
"338","36-11129","F",64,"right",1,"laptop",35,0,0,7,1,16,34
"339","36-11136","F",27,"right",0,"laptop",39,0,0,8,1,8,54
"340","36-11142","F",18,"right",1,"desktop",30,0,1,6,1,8,44
"341","36-11146","F",30,"right",0,"laptop",29,1,0,8,1,11,55
"342","36-11150","M",14,"left",1,"laptop",32,0,0,6,1,7,43
"343","36-11153","M",28,"right",0,"laptop",37,0,0,8,1,7,50
"344","36-11154","M",26,"right",1,"desktop",42,0,0,7,1,12,70
"345","36-11156","F",29,"left",1,"desktop",41,0,0,8,1,13,58
"346","36-11157","F",35,"right",0,"laptop",35,0,1,8,1,8,52
"347","36-11158","M",40,"left",1,"laptop",34,0,1,8,1,19,43
"348","36-1116","F",18,"right",1,"laptop",32,0,0,4,1,13,55
"349","36-11160","F",26,"right",0,"desktop",42,0,0,5,1,5,56
"350","36-11164","F",19,"right",0,"laptop",38,0,0,6,1,12,51
"351","36-11165","F",68,"right",1,"desktop",35,0,0,8,1,18,38
"352","36-11168","F",25,"right",1,"desktop",32,0,0,5,1,15,62
"353","36-11175","F",20,"right",1,"laptop",26,1,0,4,1,10,41
"354","36-11177","F",21,"right",1,"desktop",38,0,0,6,1,8,32
"355","36-11180","F",22,"right",1,"laptop",29,0,0,7,1,16,46
"356","36-11183","F",23,"right",0,"laptop",37,0,0,6,1,4,55
"357","36-11187","M",22,"right",1,"desktop",36,0,0,7,1,12,50
"358","36-11188","F",15,"right",1,"laptop",34,0,0,6,1,14,43
"359","36-11189","F",45,"right",0,"laptop",35,0,0,7,1,10,44
"360","36-11192","F",43,"right",1,"desktop",32,0,0,7,1,15,43
"361","36-11199","F",18,"right",1,"desktop",33,1,2,6,1,14,55
"362","36-1120","M",53,"right",1,"desktop",24,1,0,8,1,14,30
"363","36-11205","F",37,"left",1,"desktop",38,0,0,5,1,18,56
"364","36-11207","F",17,"right",1,"laptop",34,0,0,6,1,7,41
"365","36-1121","F",20,"right",0,"laptop",35,0,0,5,1,5,42
"366","36-11212","M",32,"right",1,"desktop",37,0,0,8,1,16,52
"367","36-11216","F",26,"right",0,"desktop",25,2,0,5,1,8,23
"368","36-11217","M",37,"right",1,"laptop",34,0,0,5,1,19,44
"369","36-11218","F",23,"right",1,"laptop",27,0,0,2,1,7,46
"370","36-1122","M",15,"right",1,"laptop",35,0,0,6,1,12,56
"371","36-11221","F",30,"right",1,"laptop",38,0,0,7,1,15,56
"372","36-11222","M",24,"left",1,"desktop",38,0,0,7,1,11,38
"373","36-11227","F",11,"left",1,"desktop",31,0,0,4,1,7,33
"374","36-11228","F",11,"right",0,"desktop",36,0,0,5,1,8,41
"375","36-11229","M",11,"right",1,"desktop",33,0,0,6,1,7,34
"376","36-11230","M",11,"right",1,"desktop",34,0,0,4,1,9,41
"377","36-11232","F",11,"right",1,"desktop",32,0,0,4,1,8,48
"378","36-11235","M",11,"right",1,"desktop",33,0,0,5,1,8,37
"379","36-11239","F",11,"right",1,"desktop",30,0,0,4,1,8,38
"380","36-1124","F",24,"right",1,"laptop",33,0,0,8,1,17,47
"381","36-11240","F",11,"right",1,"desktop",34,0,0,7,1,8,40
"382","36-11241","F",11,"right",1,"desktop",32,0,0,6,1,8,37
"383","36-11244","M",11,"right",1,"desktop",30,0,0,4,1,7,34
"384","36-11245","M",11,"right",1,"desktop",27,0,0,6,1,7,39
"385","36-11247","M",11,"right",1,"desktop",33,0,0,5,1,5,33
"386","36-11249","M",11,"right",1,"laptop",29,0,0,6,1,2,27
"387","36-11250","F",11,"left",1,"desktop",30,0,0,5,1,7,39
